time,value,date
01:50:57,75,2022-03-23
01:51:02,77,2022-03-23
01:51:07,80,2022-03-23
01:51:22,79,2022-03-23
01:51:27,80,2022-03-23
01:51:32,83,2022-03-23
01:51:37,81,2022-03-23
01:51:42,74,2022-03-23
01:51:47,70,2022-03-23
01:51:52,73,2022-03-23
01:52:07,72,2022-03-23
01:52:12,70,2022-03-23
01:52:17,73,2022-03-23
01:52:22,71,2022-03-23
01:52:27,72,2022-03-23
01:52:32,73,2022-03-23
01:52:37,74,2022-03-23
01:52:42,73,2022-03-23
01:52:57,74,2022-03-23
01:53:07,76,2022-03-23
01:53:17,74,2022-03-23
01:53:22,73,2022-03-23
01:53:27,72,2022-03-23
01:53:32,71,2022-03-23
01:53:37,74,2022-03-23
01:53:42,76,2022-03-23
01:53:47,75,2022-03-23
01:53:52,74,2022-03-23
01:53:57,72,2022-03-23
01:54:02,70,2022-03-23
01:54:07,72,2022-03-23
01:54:12,75,2022-03-23
01:54:17,75,2022-03-23
01:54:32,75,2022-03-23
01:54:37,75,2022-03-23
01:54:42,72,2022-03-23
